Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.087524,0.0013274,0.047463,0,0,0,3.153,0.0073295,-5.4758E-07,-7.3649E-06,0.005633,-3.0089E-07,0.012235,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.04556,0.0083094,0.0029762,0,0,0,0.072793,2.2093E-05,-1.6485E-08,-1.5645E-07,1.6263E-05,2.9641E-09,1.8084E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,fixed,-0.0210436140506678,0.117153640036847,-0.036502747985397,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,2.6021E-18,0,0,0,0.76708,0.0011643,-1.2511E-22,-1.8331E-20,0.00063966,-3.3881E-21,0.00063966,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.019183,-0.0090093,0.052006,0,0,0,0.072793,2.2093E-05,-1.6485E-08,1.5645E-07,1.6263E-05,-2.9641E-09,1.8084E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.070073,-0.14353,-0.019216,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,1.0842E-19,0,0,0,0,0.76708,0.0011643,-4.9591E-37,0,0.00063966,-2.2172E-36,0.00063966,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0,-0.026414,0,0,0,0,0.15356,9.9033E-05,-1.5126E-21,3.292E-20,9.2198E-05,-1.2113E-20,9.8461E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,,LBS,fixed,-0.169,0.16275,-0.012562,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LBW,3.4694E-18,0,0,0,0,0,0.30079,0.00010856,-4.3013E-56,2.8314E-40,0.00010991,7.7486E-40,0.00010856,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,,LBW,fixed,0,-0.053938,0,3.1416,0,1.5708,LBS,0,0,0,0,0,0,0,,,,,,,,
RBS,2.0817E-17,-0.026414,0,0,0,0,0.15356,9.9033E-05,2.9378E-20,1.4915E-20,9.2198E-05,-1.2105E-20,9.8461E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,,RBS,fixed,-0.169,-0.16275,-0.012562,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBW,-3.4694E-18,6.9389E-18,0,0,0,0,0.30079,0.00010856,0,2.6461E-40,0.00010991,-7.7486E-40,0.00010856,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,,RBW,fixed,0,-0.053938,0,0,0,-1.5708,RBS,0,0,0,0,0,0,0,,,,,,,,
fcam,-0.011554,-2.6443E-06,0.0012903,0,0,0,0.043612,2.3571E-05,-1.0184E-09,2.1759E-08,4.2948E-06,-8.8502E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,0.029118,0,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
bcam,-0.020103,-2.6435E-06,-0.0072587,0,0,0,0.043612,2.3571E-05,-1.0183E-09,2.1758E-08,4.2948E-06,-8.8548E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0.033,0,0.091232,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523,0.00046196,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,Axis_Lidar,Lidar,fixed,-0.171576367600142,-0.000994047553699723,0.206499999999996,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,0.0029108,6.2398E-05,-0.0010338,0,0,0,0.0018918,7.7943E-08,1.3921E-10,1.5451E-11,4.8547E-08,-6.301E-11,1.2523E-07,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,,IMU-2,imu_link,,imu_link,fixed,-0.007625,0,0.155,0,0,0,base_link,0,0,0,,,,,,,,,,,,
